,products_name,products_id,,persons_id,products_options_name,products_options_detail,products_options_price,products_options_id
,霊視占い,1,慧蘭（けいらん）,1,初回限定,,1280,1
,,1,,1,三日月コース,●オラクルカードのアドバイス,2980,2
,,1,,1,満月コース,"●オラクルカードのアドバイス
●開運祈願",4980,3
,仕事占い,2,慧蘭（けいらん）,1,新月コース,,1680,4
,,2,,1,三日月コース,●オラクルカードのアドバイス,2980,5
,,2,,1,満月コース,"●オラクルカードのアドバイス
●魂の記憶を読み取りこれからの方針を助言",4980,6
,妊娠占い,3,慧蘭（けいらん）,1,新月コース,,1780,7
,,3,,1,三日月コース,●オラクルカードのアドバイス,2980,8
,,3,,1,満月コース,"●オラクルカードのアドバイス
●レイキヒーリングで子宝運を上げる
●邪気払いで悪運を祓い妊娠の確率を上げる
※追加鑑定は無し",4980,9
,片思い占い,4,慧蘭（けいらん）,1,新月コース,,1780,10
,,4,,1,三日月コース,●オラクルカードのアドバイス,2980,11
,,4,,1,満月コース,"●オラクルカードのアドバイス
●思念伝達で縁結び",4980,12
,復縁占い,5,慧蘭（けいらん）,1,新月コース,,1780,13
,,5,,1,三日月コース,●オラクルカードのアドバイス,2980,14
,,5,,1,満月コース,"●オラクルカードのアドバイス
●元カレへ思念伝達を行い縁結び",4980,15
,不倫占い,6,慧蘭（けいらん）,1,新月コース,,1780,16
,,6,,1,三日月コース,●オラクルカードのアドバイス,2980,17
,,6,,1,満月コース,"●オラクルカードのアドバイス
●思念伝達を行い彼との縁結びorパートナーとの縁切り
●魂の記憶を読み取りこれからの方針を助言",4980,18
,彼の気持ち,7,慧蘭（けいらん）,1,新月コース,,2280,19
,,7,,1,三日月コース,●オラクルカードのアドバイス,3980,20
,,7,,1,満月コース,"●オラクルカードのアドバイス
●思念伝達で縁結び",5980,21
,夫婦占い,8,慧蘭（けいらん）,1,新月コース,,1880,22
,,8,,1,三日月コース,●オラクルカードのアドバイス,2980,23
,,8,,1,満月コース,"●オラクルカードのアドバイス
●思念伝達で夫婦仲改善or縁切り",4980,24
,運命の相手,9,慧蘭（けいらん）,1,新月コース,,1780,25
,,9,,1,三日月コース,●オラクルカードのアドバイス,2980,26
,,9,,1,満月コース,"●オラクルカードのアドバイス
●縁結びで運命の相手を引き寄せます【強力】",4980,27
,年の差占い,11,慧蘭（けいらん）,1,新月コース,,1780,28
,,11,,1,三日月コース,●オラクルカードのアドバイス,2980,29
,,11,,1,満月コース,"●オラクルカードのアドバイス
●思念伝達で縁結び",4980,30
,お子様占い,12,慧蘭（けいらん）,1,新月コース,,1680,31
,,12,,1,三日月コース,●オラクルカードのアドバイス,2980,32
,,12,,1,満月コース,"●オラクルカードのアドバイス
●お子様との関係性を良好にする為の祈祷
●魂の記憶を読み取りこれからの方針を助言
",4980,33
,離婚占い,13,慧蘭（けいらん）,1,新月コース,,1780,34
,,13,,1,三日月コース,●オラクルカードのアドバイス,2980,35
,,13,,1,満月コース,"●オラクルカードのアドバイス
●縁切り",4980,36
,前世現世来世,14,慧蘭（けいらん）,1,新月コース,,2680,37
,,14,,1,三日月コース,●オラクルカードのアドバイス,3980,38
,,14,,1,満月コース,"●オラクルカードのアドバイス
●魂の記憶を読み取りこれからの方針を助言",4980,39
,彼との前世,15,慧蘭（けいらん）,1,新月コース,,1580,40
,,15,,1,三日月コース,●オラクルカードのアドバイス,2980,41
,,15,,1,満月コース,"●オラクルカードのアドバイス
●思念伝達で縁結び",4980,42
,天国のメッセージ,16,慧蘭（けいらん）,1,新月コース,,1480,43
,,16,,1,三日月コース,"●オラクルカードのアドバイス
●故人様が無事に成仏出来るようおまじない",2980,44
,,16,,1,満月コース,"●オラクルカードのアドバイス
●故人様が無事に成仏出来るようおまじない
●ハイヤーセルフからあなたへのメッセージ
●故人様の来世について",4980,45
,スピリチュアル診断,19,慧蘭（けいらん）,1,新月コース,,1980,46
,,19,,1,三日月コース,●オラクルカードのアドバイス,3480,47
,,19,,1,満月コース,"●オラクルカードのアドバイス
●スキル開化する為の遠隔施術
●スキル開花のトレーニング方法",5980,48
,未来予知,20,慧蘭（けいらん）,1,新月コース,,2180,49
,,20,,1,三日月コース,●オラクルカードのアドバイス,3480,50
,,20,,1,満月コース,"●オラクルカードのアドバイス
●開運祈願で未来を良くする",5980,51
,ペット鑑定,21,慧蘭（けいらん）,1,新月コース,,2280,52
,,21,,1,三日月コース,●オラクルカードのアドバイス,3980,53
,,21,,1,満月コース,"●オラクルカードのアドバイス
●ペットとの仲を深める祈願",5980,54
,好きな人占い,22,慧蘭（けいらん）,1,新月コース,,1880,55
,,22,,1,三日月コース,●オラクルカードのアドバイス,3480,56
,,22,,1,満月コース,"●オラクルカードのアドバイス
",5980,57
